1	1	6
1	2	8
1	3	7
1	4	3
1	4	6
1	5	6
1	6	8
1	7	9
1	8	4
1	8	2
1	8	2
1	8	7
1	9	4
1	9	8
1	10	8
1	11	9
1	12	10
1	13	5
1	13	3
1	13	6
1	14	10
1	15	8
1	16	3
1	16	10
1	17	5
1	17	2
1	17	1
1	17	10
1	18	4
1	18	8
1	19	3
1	19	1
1	19	8
1	20	9
1	21	8
1	22	4
1	22	9
1	23	4
1	23	2
1	23	2
1	23	5
1	23	1
1	23	1
1	23	7
1	24	7
1	25	5
1	25	6
1	26	3
1	26	5
1	26	9
1	27	8
1	28	9
1	29	6
1	30	7
1	31	8
1	32	6
1	33	7
1	34	10
1	35	4
1	35	1
1	35	9
1	36	10
1	37	7
1	38	4
1	38	7
1	39	9
1	40	7
2	1	5
2	1	8
2	2	7
2	3	9
2	4	3
2	4	6
2	5	6
2	6	9
2	7	7
2	8	4
2	8	3
2	8	2
2	8	7
2	9	10
2	10	8
2	11	10
2	12	6
2	13	8
2	14	5
2	14	10
2	15	10
2	16	8
2	17	9
2	18	6
2	19	6
2	20	4
2	20	9
2	21	5
2	21	3
2	21	7
2	22	8
2	23	8
2	24	5
2	24	3
2	24	6
2	25	9
2	26	10
2	27	7
2	28	7
2	29	10
2	30	5
2	30	6
2	31	5
2	31	4
2	31	6
2	32	10
2	33	6
2	34	10
2	35	7
2	36	6
2	37	8
2	38	8
2	39	4
2	39	9
2	40	5
2	40	3
2	40	5
2	40	6
3	1	6
3	2	3
3	2	2
3	2	4
3	2	1
3	2	9
3	3	4
3	3	10
3	4	3
3	4	6
3	5	4
3	5	7
3	6	10
3	7	3
3	7	7
3	8	4
3	8	2
3	8	10
3	9	6
3	10	10
3	11	8
3	12	9
3	13	6
3	14	10
3	15	3
3	15	3
3	15	7
3	16	4
3	16	8
3	17	4
3	17	1
3	17	2
3	17	10
3	18	10
3	19	3
3	19	3
3	19	1
3	19	8
3	20	9
3	21	4
3	21	5
3	21	10
3	22	7
3	23	4
3	23	6
3	24	10
3	25	4
3	25	4
3	25	1
3	25	5
3	25	2
3	25	4
3	25	8
3	26	6
3	27	9
3	28	3
3	28	9
3	29	9
3	30	10
3	31	7
3	32	9
3	33	7
3	34	10
3	35	5
3	35	8
3	36	10
3	37	9
3	38	4
3	38	1
3	38	10
3	39	7
3	40	10
4	1	4
4	1	4
4	1	5
4	1	6
4	2	3
4	2	10
4	3	4
4	3	1
4	3	10
4	4	9
4	5	5
4	5	3
4	5	4
4	5	4
4	5	4
4	5	2
4	5	3
4	5	10
4	6	8
4	7	3
4	7	5
4	7	10
4	8	3
4	8	4
4	8	3
4	8	1
4	8	8
4	9	4
4	9	5
4	9	1
4	9	3
4	9	2
4	9	9
4	10	10
4	11	10
4	12	8
4	13	9
4	14	8
4	15	8
4	16	5
4	16	5
4	16	6
4	17	7
4	18	5
4	18	10
4	19	6
4	20	7
4	21	8
4	22	4
4	22	3
4	22	5
4	22	1
4	22	10
4	23	8
4	24	9
4	25	5
4	25	10
4	26	4
4	26	9
4	27	8
4	28	3
4	28	5
4	28	5
4	28	3
4	28	7
4	29	10
4	30	9
