Pelicula,Año de estreno,Ganancia
Tremors 4: The Legend Begins,2004,3191600.5533999996
Madame Bovary,2015,5971855.460000001
Ed Wood,1994,55790844.61999999
The Haunting in Connecticut,2009,20324257.83
Blue Lagoon: The Awakening,2012,128413014.02
Passion,2012,107494264.1
Barefoot,2014,-26631396.091000002
The Omen,2006,68511031.74
A Fish Called Wanda,1988,10107037.059999999
Police Academy 5: Assignment Miami Beach,1988,46628045.849999994
Two for the Money,2005,27780714.407
The General's Daughter,1999,67937199.47
American Pie Presents: The Book of Love,2009,33567138.57
Green Lantern: First Flight,2009,96234202.74
Nineteen Eighty-Four,1984,50678511.75
Justice League: War,2014,58363787.96999999
Stigmata,1999,-931647.7440000009
Barbie of Swan Lake,2003,23743232.630000003
Nebraska,2013,411982028.4
Rosemary's Baby,1968,104517829.20000002
Born on the Fourth of July,1989,24139865.72
Letters from Iwo Jima,2006,-39944025.98
The Baytown Outlaws,2012,111556955.98
2 Fast 2 Furious,2003,73148931.53999999
The Zero Theorem,2014,-32524869.911
Fading Gigolo,2013,25364853.310000002
Mickey's Twice Upon a Christmas,2004,15885731.239999998
Housebound,2014,-6661053.8500000015
Disturbing Behavior,1998,75545793.41
K-19: The Widowmaker,2002,83411503.61
The Enforcer,1976,-23050697.58
Trouble with the Curve,2012,19933658.277
Made of Honor,2008,7679801.040000001
Shark Bait,2006,19781988.199999988
Uncle Buck,1989,55390130.36999999
The Other Boleyn Girl,2008,-107610203.12
Flightplan,2005,-10068021.69
The Hallow,2015,49843921.099999994
D.A.R.Y.L.,1985,14781266.0
The Day of the Jackal,1973,259503430.70999998
Assault on Precinct 13,2005,-19416251.7599
Vikingdom,2013,-14226458.159999998
Babe: Pig in the City,1998,122954721.374
The Hole,2001,439863705.50000006
Fright Night,1985,32748280.29
New York Minute,2004,16032896.52
A Good Marriage,2014,-1800992.2760000005
Deception,2008,15514284.081
National Lampoonâ€™s European Vacation,1985,149008530.67
A Scanner Darkly,2006,-14573031.5372
Immortel (ad vitam),2004,152431235.75
RockNRolla,2008,117252302.32
When the Game Stands Tall,2014,-20357358.900000002
Barbie in Princess Power,2015,13145303.073999997
Stranger Than Fiction,2006,7051006.813999999
The Edge,1997,-9101691.7935
Life During Wartime,2009,38333224.760000005
(T)Raumschiff Surprise - Periode 1,2004,-25580020.897
Murder She Said,1961,2523410.0
The Time Machine,1960,1625617.50674
Kiss the Girls,1997,61550049.05
World Trade Center,2006,900325519.7
Nowhere to Run,1993,194561888.287
Ondine,2009,-2798977.870000005
Babylon 5: Thirdspace,1998,-11702507.251999998
Timecop,1994,20691801.22
Police Academy 2: Their First Assignment,1985,116506364.08
The Eye,2008,56772127.48
The Perfect Man,2005,-9092953.639899999
Passion Play,2011,-4502080.32
Eight Legged Freaks,2002,5559882.629999995
Man of Tai Chi,2013,2057101.4299999997
Point of No Return,1993,9637937.59
Howl,2015,-1898013.50935
Baggage Claim,2013,-13699107.5733
The Prophecy,1995,-651051.60295
Feast,2014,-7596915.5696
Red Sonja,1985,-6424586.649
A Good Year,2006,48087988.38
About Cherry,2012,76203711.22
Jackie & Ryan,2014,6351006.43
Mr. Magorium's Wonder Emporium,2007,12080678.149999999
Dom Hemingway,2013,28198809.959999997
Sideways,2004,12163463.779999997
A Lonely Place to Die,2011,-4448120.725099999
Elegy,2008,-2256130.4734
Snow Cake,2006,-15973906.72
Cube 2: Hypercube,2002,-2806715.602
Breezy,1973,-19371016.74161
Peter's Friends,1992,73825700.28
Love,2015,-11145809.100000001
Wolf Creek,2005,-7988564.981000001
What a Girl Wants,2003,2980898.9807
Truth,2015,1334.861104957
Risky Business,1983,-10690025.2808
Lock Stock and Two Smoking Barrels,1998,-1842521.2880000006
Game of Death,2010,2064817.83
Clear History,2013,9991469.299999999
Rudolph the Red-Nosed Reindeer,1964,32496375.417400002
Oceans,2009,-33496579.96
Return to Sender,2015,-6141069.711000001
Election,1999,50035881.3
In Hell,2003,2423404.95198204
Barton Fink,1991,56617108.129999995
The Scribbler,2014,4520180.920000002
Then She Found Me,2007,485801881.2
Danny Collins,2015,-2420239.8673730004
The Craft,1996,-9399402.657000002
Cooties,2014,-3532788.9189999998
Fathers and Daughters,2015,30158564.439000003
Spy Kids: All the Time in the World,2011,10761939.105
The Cell,2000,-7657357.53753
Trust,2011,-2496199.960000001
Alex Cross,2012,-171377.94999999925
Patriot Games,1992,-13526500.43801
American Graffiti,1973,-12896646.654000001
Spy Kids 2: Island of Lost Dreams,2002,-871580.9330900001
On Golden Pond,1981,98836624.45
Before the Devil Knows You're Dead,2007,-12962584.14
One Fine Day,1996,-3631462.9764
Walk the Line,2005,-17326576.626000002
In Your Eyes,2014,27350240.610000003
I'll Be Home for Christmas,1998,727048.532
Twin Peaks: Fire Walk with Me,1992,-10055202.373
Frances Ha,2013,-12804799.099999998
Stepmom,1998,-2292793.107
The Blob,1988,1161557.9393
Get Rich or Die Tryin',2005,-5811341.56979
Old Dogs,2009,447810.517559
The Last Boy Scout,1991,82827262.97
Get Carter,2000,-318195.2135
A Most Wanted Man,2014,81658.21352
The Smurfs: A Christmas Carol,2011,-5411587.021000001
Chariots of Fire,1981,-2886867.37106
Gainsbourg (vie hÃ©roÃ¯que),2010,175130.48098
Knight of Cups,2015,178776494.59999996
Nothing But the Truth,2008,9367524.007000001
Firefox,1982,-4.8469902099999995
Starman,1984,665500000.0
Three Days of the Condor,1975,423933331.0
The Longest Yard,2005,825467110.0
The Relic,1997,314803731.0
Striking Distance,1993,704305868.0
The Quiet Earth,1985,474513985.0
Mystery Men,1999,194470394.0
The Preacher's Wife,1996,329878759.0
Waiting...,2005,214804195.0
Are We There Yet?,2005,230062763.0
Crocodile Dundee in Los Angeles,2001,331794936.0
Lionheart,1990,863171911.0
The Kings of Summer,2013,183329073.0
Clouds of Sils Maria,2014,17692920.0
Minions: Banana,2010,66952305.0
Doomsday,2008,260686217.0
Hemingway & Gellhorn,2012,68188903.0
The Secret of Moonacre,2008,178346189.0
Elvira Mistress of the Dark,1988,185154643.0
Age of Tomorrow,2014,110669540.0
To Wong Foo Thanks for Everything! Julie Newmar,1995,214276927.0
The Piano,1993,107713139.0
Harley Davidson and the Marlboro Man,1991,65283742.0
Toys,1992,184920315.0
Riot,2015,-12335441.0
Bachelor Party,1984,210650585.0
Joy Ride 2: Dead Ahead,2008,86248813.0
Oliver!,1968,131497209.0
The Guardian,2006,67805466.0
The Flintstones in Viva Rock Vegas,2000,587600867.0
The Omega Man,1971,89977104.0
American Ninja,1985,67238796.0
The Breed,2006,13664962.0
Bronson,2008,11327899.0
Kill the Messenger,2014,191430189.0
Tais-toi !,2003,77107755.0
Avalon High,2010,97263880.0
Southland Tales,2006,117026136.0
Calvary,2014,630491347.0
The Manchurian Candidate,1962,191885765.0
Vals Im Bashir,2008,168502923.0
Bedknobs and Broomsticks,1971,70432927.0
Foxfire,1996,95509150.0
Armored,2009,129291809.0
Terminal Velocity,1994,399211549.0
Great Expectations,2012,72820008.0
The Unbearable Lightness of Being,1988,-9651751.0
Septembers of Shiraz,2015,-13590109.0
The Scorpion King 3 : Battle for Redemption,2012,644937.0
Senna,2010,144930431.0
The Fast and the Furious: Tokyo Drift,2006,144594016.0
Time Lapse,2014,11355734.0
For Greater Glory - The True Story of Cristiada,2012,96000000.0
Murder at the Gallop,1963,10922472.0
The Haunting,1963,-5117111.0
Violet & Daisy,2011,125382724.0
Nude Nuns With Big Guns,2010,42477008.0
THX 1138,1971,4190704.0
Thirteen Days,2000,30830607.0
Ghost Dog: The Way of the Samurai,1999,-7004189.0
This Is Spinal Tap,1984,164485654.0
Double Impact,1991,11993168.0
Fletch,1985,116150434.0
Red Tails,2012,317852395.0
A.C.O.D.,2013,146780824.0
A Sound of Thunder,2005,-4546957.0
Vampires,1998,615806.0
The Beach,2000,15222298.0
Bride & Prejudice,2004,-1508760.0
Max Manus,2008,21148651.0
W.E.,2011,80664037.0
A Shot in the Dark,1964,-1420000.0
Paranormal Activity: The Marked Ones,2013,-15809131.0
Sex Lies and Videotape,1989,50029656.0
Frailty,2001,-36461000.0
Bound by Honor,1993,60547866.0
6 Bullets,2012,5871522.0
The Witches of Eastwick,1987,23159963.0
Mickey's Magical Christmas: Snowed in at the House of Mouse,2001,41918658.0
Dr. Dolittle: Tail to the Chief,2008,188347692.0
Help!,1965,12005248.0
The Glimmer Man,1996,58246388.0
Sheâ€™s Funny That Way,2014,28572262.0
Weird Science,1985,4145613.0
Hackers,1995,-12244788.0
London,2005,60073390.0
March or Die,1977,37055695.0
Birth,2004,34519773.0
What We Do in the Shadows,2014,-10117423.0
Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes,1965,10045846.0
Would You Rather,2012,-918274.0
Jungle 2 Jungle,1997,174512032.0
Sorority Boys,2002,-5544768.0
Cut Bank,2014,45464324.0
La belle noiseuse,1991,25583804.0
Hang 'em High,1968,3742978.0
Miss Potter,2006,67610124.0
Sex and the City,2008,-5185211.0
Seabiscuit,2003,2132926.0
Rubber,2010,-21148483.0
Wilde,1997,-12520282.0
Sinners and Saints,2010,60700498.0
Carriers,2009,-1427191.0
Bulletproof,1996,59188165.0
The Spy Next Door,2010,18785180.0
L'ArmÃ©e du crime,2009,-5767020.0
The Purple Rose of Cairo,1985,-73821041.0
Mask,1985,65938090.0
The King of Comedy,1982,64462508.0
Hole in One,2009,2188922.0
Tightrope,1984,-9501026.0
54,1998,17164830.0
Fun Size,2012,17387857.0
Honeymoon,2014,30705850.0
Butter,2011,56821036.0
Playing for Keeps,2012,25636368.0
Perfect Stranger,2007,11831503.0
Southern Comfort,1981,-6953512.0
Wimbledon,2004,27483764.0
Hatari!,1962,-3890000.0
Angel Eyes,2001,-71331093.0
KatyÅ„,2007,-401983.0
The Perfect Score,2004,17236543.0
Death Warrant,1990,29779728.0
11/11/2011,2011,-11795060.0
Sintel,2010,-20355892.0
Starred Up,2014,55197635.0
Black Snake Moan,2006,-5170043.0
Cheech & Chong's The Corsican Brothers,1984,-29033000.0
Space Station 76,2014,-29033000.0
Night Shift,1982,-9521200.0
Up in Smoke,1978,28050886.0
Georgia Rule,2007,-6617054.0
The Dinosaur Project,2012,-4000000.0
A Common Man,2013,33761844.0
Street Fighter,1994,64748021.0
Leaves of Grass,2009,-17128721.0
Salem's Lot,2004,10124262.0
Ruthless People,1986,-2385227.0
The Pit and the Pendulum,1991,34956140.0
The Childhood of a Leader,2015,129058.0
Bachelorette,2012,19300000.0
Saturday Night Fever,1977,121584141.0
Major League,1989,12370930.0
First Knight,1995,-2175862.0
The Killer Inside Me,2010,-19653406.0
London Boulevard,2010,5529194.0
Superhero Movie,2008,-10495064.0
Jobs,2013,-4376180.0
Gun,2010,-15865707.0
Barfly,1987,23583175.0
TEKKEN,2010,3015943.0
Hard Target,1993,900000.0
The International,2009,-21545699.0
The Other Man,2008,-5098661.0
The Amityville Horror,1979,-3436033.0
The Angriest Man in Brooklyn,2014,-3944875.0
Big Stan,2007,7409028.0
King of New York,1990,4340177.0
BloodRayne,2005,-11416317.0
Paradise Alley,1978,-2447396.0
Dressed to Kill,1980,-15365938.0
Still Smokin,1983,-8931318.0
Triangle,2009,587000.0
Take the Money and Run,1969,-2896265.0
J. Edgar,2011,-8621007.0
Garden State,2004,-616755.0
The Sunset Limited,2011,-413912431.0
Eight Crazy Nights,2002,-5650813.0
The Fantastic Four,1994,-9944911.0
The Heavy,2010,3302314.0
Used Cars,1980,-1312284.0
Friends with Kids,2011,-6546921.0
Soldier,1998,-3781334.0
Working Girl,1988,40072596.0
Erased,2012,236221663.0
Orgazmo,1997,25251371.0
Miss Meadows,2014,40.0
Brokedown Palace,1999,-5000000.0
In Secret,2013,2586236847.1
Halloween II,2009,253216907.41000003
Batman: Mask of the Phantasm,1993,57250987.49000001
Halloween II,1981,695176424.8
The Age of Innocence,1993,565467006.5
Dance of the Vampires,1967,239545707.6
Detachment,2011,174163264.59999996
Frankenstein,1994,183785131.07999998
The Man Who Fell to Earth,1976,441146937.73
The Matador,2005,54095609.944000006
Assault on Wall Street,2013,809752826.6300001
Stormbreaker,2006,431228841.31
Hesher,2010,56165254.29999998
Battle for Terra,2007,578996161.3
Carjacked,2011,18730291.24
Repentance,2013,210001989.1
Renaissance Man,1994,164703385.9
Trois couleurs : Bleu,1993,284803846.91
Primary Colors,1998,80083594.85
Down with Love,2003,670648918.79
The Ruins,2008,139510555.44
Swamp Thing,1982,129559564.19999999
Foster,2011,281924101.94
Little Nicky,2000,170042681.7
Search Party,2014,145333538.9
Capote,2005,6577150.590000004
Eating Out: All You Can Eat,2009,65655806.95
Evolution,2001,267421225.4
The Ewok Adventure,1984,118174313.12
Hyena Road,2015,127287752.69999999
High Anxiety,1977,28993417.989999995
Criminal Activities,2015,159872806.61
Moonlight Mile,2002,32322945.580000002
Play Misty for Me,1971,74899285.89000002
Life,2015,3388202.360000003
Christine,1983,14799376.79
Mysterious Island,1961,-12557295.0
The Taking of Deborah Logan,2014,61840491.81
Albino Alligator,1996,107175728.09
Rising Sun,1993,4838171.772
Tusk,2014,145160115.6
Elektra Luxx,2010,50988872.29999998
Geri's Game,1997,13632768.629999999
Hart's War,2002,69453429.64
Sleepover,2004,-9321875.93
The Star Chamber,1983,-44165435.632
Paranormal Activity 4,2012,103515139.61
Men Women & Children,2014,17602377.439999998
About Schmidt,2002,-4436277.890000001
I Spit on Your Grave 2,2013,209896721.5
Little Shop of Horrors,1986,-652679.506
Venuto al mondo,2012,91009002.04
Pretty Baby,1978,-6647809.726
The Order,2003,136303993.96999997
Twilight,1998,15811187.150000002
Heartbreakers,2001,21950438.89
Ghost Town,2008,25517283.79
The Secret of NIMH,1982,148564343.54000002
Lifeforce,1985,374177660.94
Hours,2013,-908260.5099999998
The Outsiders,1983,86051978.48
Observe and Report,2009,54527680.75
Ali,2001,28239866.840000004
Animal Kingdom,2010,61506506.69
The Last Days of Disco,1998,-6759402.363000001
Monty Python's And Now for Something Completely Different,1971,51467454.55
McFarland USA,2015,13644998.98
Shelter,2014,57227397.88999999
On the Road,2012,2032800.870000001
Madea's Family Reunion,2006,-13875101.869999997
I.D.,1995,31931707.65
Marmaduke,2010,63250387.57
Nothing in Common,1986,-10375550.8174
The American President,1995,18430403.31
Evidence,2013,7587733.140000001
The Nanny Diaries,2007,12741899.75
Hoodlum,1997,58172285.36
Multiplicity,1996,-7714592.109999999
Hello Ladies: The Movie,2014,24831002.081
All That Jazz,1979,8997825.1
Sx_Tape,2014,-28249805.2
The Anomaly,2014,-2386472.6400000006
The Last Starfighter,1984,-12446586.629
Hannah Montana: The Movie,2009,-2764277.829999998
Because I Said So,2007,62000426.483
Jesus Christ Superstar,1973,697552800.5
Intolerable Cruelty,2003,45462938.89
Annie,1999,20797938.380000003
5 Flights Up,2014,-15031558.215
El Mariachi,1992,88216.5
Jack Goes Boating,2010,136303013.2
A Haunted House 2,2014,-31824685.75
Imagine Me & You,2005,63254635.150000006
Hard Candy,2005,35518890.70999999
K-9,1989,2396570.5800000057
Fighting,2009,-3816770.6483
Minions: Training Wheels,2013,-10525075.514
Titan A.E.,2000,87140804.58999999
Home Sweet Hell,2015,58157731.53
Half Light,2006,-31466227.759999998
The Dark,2006,2672443.007
Fortress,2012,-14647242.980000002
Blood Work,2002,32330452.720000003
Somewhere in Time,1980,-19293921.862
Wicker Park,2004,2990474.6999999993
Trick 'r Treat,2007,-12024351.530000001
Hoosiers,1986,-8146330.561
Hak Hap,1996,18901848.444
Casualties of War,1989,-13763096.57
A Low Down Dirty Shame,1994,140944248.25
Out of the Furnace,2013,-21251848.58
Hunger,2008,10328042.219999999
Solaris,2002,-13339863.3696
Porky's II: The Next Day,1983,282726279.70000005
Doctor Strange,2007,-2605533.3599999994
Scream 3,2000,24821989.660000004
Hotel Chevalier,2007,122522273.91
Smokey and the Bandit,1977,-6315531.146
Love & Mercy,2014,13092310.910000004
The Invisible,2007,6143142.518999999
Dead Space: Downfall,2008,-3030807.5033400003
Heaven is for Real,2014,32863575.080000002
Sheena,1984,-10138815.904
5 Days of War,2011,68824.53899999999
Reach Me,2014,-18444264.97
Blood Simple,1984,-4126529.8599999994
House of Sand and Fog,2003,7790076.106000001
Sabrina,1995,2895504.277
Tell-Tale,2009,-3512210.3229
Catch a Fire,2006,-26603757.92
Joe Versus the Volcano,1990,-5060392.481
Adam,2009,-2135033.469999999
The Descent: Part 2,2009,3511944.030000001
The Haunting in Connecticut 2: Ghosts of Georgia,2013,66792627.480000004
PrÃªt-Ã -Porter,1994,-28743643.689999998
Mercury Rising,1998,73566098.86
Die PÃ¤pstin,2009,-24355663.106000002
Superman: Unbound,2013,3079436.171
Women in Trouble,2009,43140884.67
The Four Feathers,2002,-37846482.27
Carlos,2010,38658241.66
Simon Birch,1998,54713180.949999996
Takedown,2000,-15130928.6364
City Slickers,1991,1659817.4799999986
The War of the Roses,1989,-37799932.149
The Quiet American,2002,-3920062.3414000003
Fire Down Below,1997,194266437.4
Double Team,1997,101640.04399999976
The Fortune Cookie,1966,-2646140.5955
Balto II: Wolf Quest,2002,681711.9679999994
The Bang Bang Club,2010,-21081650.29
I Spit on Your Grave III: Vengeance is Mine,2015,-20949473.512000002
Experimenter,2015,21355403.516999997
Maximum Conviction,2012,-23035524.615000002
Made in Dagenham,2010,-11208347.649999999
Barbie Fairytopia: Mermaidia,2006,14947306.75
The Postman Always Rings Twice,1981,-13857372.791000001
Around the World in 80 Days,2004,-3026100.552
Barbershop 2:  Back in Business,2004,-1423873.3299999982
Robot Chicken: Star Wars Episode II,2008,59.96762564000001
I'll Always Know What You Did Last Summer,2006,-9863403.9116
Mutiny on the Bounty,1962,-703387.7239999999
Best of the Best,1989,-8735712.711
That's What I Am,2011,32994836.071
Another Year,2010,-2025375.046428
Rampart,2011,-5662062.915
Jane Eyre,1996,-2182404.8478
Malice,1993,-4350751.860000003
Kinky Boots,2005,-1467682.2266900002
The Punisher,1989,27727657.940000005
A Teacher,2013,34161227.73899999
Sid & Nancy,1986,301841.4530000001
Mr. Magoo,1997,-17551.202699999994
Sniper,1993,-21539.558
How High,2001,827367504.7
Action Jackson,1988,345676089.79999995
The Brothers Bloom,2008,450866501.8
Big Nothing,2006,204411301.55
Urban Legends: Bloody Mary,2005,609328932.5999999
Friday the 13th Part VIII: Jason Takes Manhattan,1989,360163764.55
The Town that Dreaded Sundown,2014,391027527.7
Small Time Crooks,2000,508160183.9
Rabbit Hole,2010,-247184.75
The Apostle,1997,564974553.74
The Forgotten,2004,186283955.20000002
Somewhere,2010,259403662.1
The End of the Affair,1999,13887405.200000018
State of Grace,1990,239988126.07999998
Being There,1979,459704211.6
Meet Dave,2008,76352022.53
Far from Heaven,2002,138985910.93
Buzz Lightyear of Star Command: The Adventure Begins,2000,57427088.48
Real Genius,1985,185613414.45999998
Grumpy Old Men,1993,367550948.19
Married to the Mob,1988,79989431.58999999
Blues Brothers 2000,1998,126877858.36
Hell & Back,2015,163058648.10000002
An Officer and a Gentleman,1982,480090611.0
Code 46,2003,27345239.11
16 Blocks,2006,136726195.51999998
Tyrannosaur,2011,197140349.29999998
He Got Game,1998,97301094.78999999
The Lord of the Rings,1978,99320510.3
Blue Streak,1999,8017789.1899999995
House 2: The Second Story,1987,64052971.61
The Legend of Hercules,2014,29130291.759999998
Dreamscape,1984,129451045.32000001
Maps to the Stars,2014,155051414.10000002
The Gauntlet,1977,114614724.83999999
A Turtleâ€™s Tale 2: Sammyâ€™s Escape From Paradise,2012,147627857.25
The Jungle Book,1994,162025599.6
Snowtown,2011,76134326.08999999
The Tigger Movie,2000,-81474631.52000001
Pina,2011,157985577.53
Alpha and Omega,2010,186436169.97
Tooth Fairy 2,2012,43833504.72999999
Goal! II: Living the Dream,2007,128340392.14999999
Girl in Progress,2012,131924897.18999998
Parental Guidance,2012,-2541715.670000002
The Singing Detective,2003,35268470.50000001
Always,1989,45395928.67
Milf,2010,63914576.3
Neverland,2011,41758247.22999999
Grave Encounters 2,2012,21903973.04
Zombeavers,2014,75579043.59
The Rookie,2002,39198888.807
In the Electric Mist,2009,134573458.8
V/H/S,2012,-10543743.87
Beavis and Butt-Head Do America,1996,51061567.51
Air Mater,2011,37915125.04
Down to Earth,2001,112582872.25
Daai laap mat taam 008,1996,18336614.43
The Bounty,1984,152612212.7
Tomcats,2001,65204142.33
You Don't Know Jack,2010,2135569.9899999946
Kelly's Heroes,1970,17219943.22
Alien Abduction,2014,58762138.739999995
Space Buddies,2009,73771041.15999998
Wonder Woman,2009,31895814.03
Tenebre,1982,46152554.22
The Cotton Club,1984,24280482.956
The Devil Inside,2012,84804369.10000001
Retreat,2011,1924294.6039999994
Love and Death,1975,46024002.23
Kangaroo Jack,2003,60547265.333
Flukt,2012,104375291.94999999
Police Academy 6: City Under Siege,1989,-20438982.239999995
Monster,2003,-26387379.989999995
I Could Never Be Your Woman,2007,82449594.61999999
Half Nelson,2006,214850545.13
Scooby-Doo! Curse of the Lake Monster,2010,73838854.34
Jug Face,2013,13343024.349999994
Scoop,2006,-11029971.600000001
Wild Hearts Can't Be Broken,1991,-9189610.675999999
War Games: The Dead Code,2008,1550405.1799999997
Open Grave,2013,113023249.15999998
The Day After,1983,19400149.769999996
The Thomas Crown Affair,1968,-2548768.710000001
A Civil Action,1998,63882876.05
The Sure Thing,1985,74329570.69600001
Lemon Tree Passage,2014,35028829.98
Assassin's Creed: Lineage,2009,-43515711.561
The Good Witch's Family,2011,38860049.91
The Fly II,1989,31302433.479999997
Chained,2012,-37605731.89
Robot Overlords,2015,45171986.35999999
Look Who's Talking Now!,1993,-7351516.370000001
Dark Tide,2012,7837970.949999999
Cujo,1983,44876338.75
Tommy Boy,1995,1918569.3200000003
Bad Company,2002,-2544737.8200000003
And So It Goes,2014,55345580.019999996
The Dirty Dozen,1967,-13969234.38
Black Gold,2011,-5220936.370000001
DÃ¨moni 2,1986,-21236781.620000005
Wake Up Ron Burgundy: The Lost Movie,2004,-9837906.530000001
Mr. Turner,2014,-11457956.999899998
Open Season 3,2010,214097.01000000164
The Babysitters,2007,-17843098.691
The Seventh Sign,1988,104725985.47
The Tall Man,2012,-7888163.640000001
Return to the Blue Lagoon,1991,-4992703.8889999995
Sophie's Choice,1982,9242537.892
Splitting Heirs,1993,354731340.1
Butterfly on a Wheel,2007,-6316861.643999999
Reservation Road,2007,-9239505.61
Killer Joe,2011,-9244884.509999998
Confessions of a Dangerous Mind,2002,27451981.759999998
Last Holiday,2006,-14033317.442
A Midsummer Night's Sex Comedy,1982,130934682.51999998
Dangerous Liaisons,1988,40740044.21
7 Seconds,2005,11317259.671
The Cook the Thief His Wife & Her Lover,1989,442246.44999999925
The Rage: Carrie 2,1999,1163011.25
Wolves,2014,-6006334.17031
Coneheads,1993,34266064.92999999
Cry-Baby,1990,-779566.1789999995
Justice League: The New Frontier,2008,-6882603.25
Irma la Douce,1963,-14654248.826
The Last Kiss,2006,-9469475.020000003
Foul Play,1978,29224382.67
Rudolph the Red-Nosed Reindeer: The Movie,1998,1753263.3000000003
Damage,1992,-8965002.959999999
Gia,1998,-23294092.582000002
TRON: The Next Day,2011,17574296.0
Pathology,2008,-30592743.503000002
Death Wish 3,1985,-2414996.817
Hannah and Her Sisters,1986,34442388.04
Defendor,2009,13061633.739999998
Roald Dahl's Esio Trot,2014,36597934.242
Crown for Christmas,2015,27143031.199999996
Michael Clayton,2007,7737718.240000002
Hellraiser: Hellseeker,2002,4682315.166000001
Love Marilyn,2012,840751.6579999998
Stuart: A Life Backwards,2007,-3751175.3389999997
Deadgirl,2008,-3139663.8850000002
16 Wishes,2010,-18560913.247
Porky's,1981,-36132345.082
Frankenstein,2015,-202554.28844009902
Vampire Academy,2014,-11576592.800609998
The Disappearance of Eleanor Rigby: Them,2014,16833028.35
Nine,2009,4608179.190000001
3000 Miles to Graceland,2001,-11613394.43
The Messenger,2009,-6043130.734
The Human Stain,2003,-3443474.549999997
Yogi Bear,2010,4462807.84
Chi-Raq,2015,-4760097.1790000005
Reds,1981,33377717.3531
Gods and Generals,2003,3615611.823
Trancers,1984,5063933.16
Some Velvet Morning,2013,-3514321.0053000003
The 11th Hour,2007,-5680304.9867
Blue Thunder,1983,8761399.420000002
I Want Candy,2007,67755425.802
The Challenge,2003,8912522.382000001
Shattered Glass,2003,-971679.6499999999
Flicka 2,2010,6907204.841000001
Rules of Engagement,2000,-14870746.1471
Pump up the Volume,1990,4557539.85
Sling Blade,1996,-2423032.2675
Sharknado 2: The Second One,2014,4253703.862
The Sisterhood of the Traveling Pants 2,2008,695152933.2
Arthur Newman,2012,828938573.0
The Queen,2006,498199404.6
Love Is Strange,2014,392087432.82000005
Marvin's Room,1996,154174614.23000002
Piranha,1978,457842876.3000001
The Express,2008,344277558.90000004
I Saw the Light,2015,665571205.9000001
Any Which Way You Can,1980,41116234.72
Wake of Death,2004,68947419.62
John Dies at the End,2012,39855.07999999821
Contre-EnquÃªte,2007,287664447.0
Liberal Arts,2012,124120274.50000003
Picnic at Hanging Rock,1975,43386736.71
The Brady Bunch Movie,1995,376087642.53
Autobahnraser,2004,124873437.5
Silent Running,1972,235480778.13
Anna and the King,1999,81595876.53999999
The House of the Spirits,1993,36489740.559999995
Good Kill,2015,104394997.71999998
Mean Girls 2,2011,53826022.88
The Thief Lord,2006,175066049.5
The Cove,2009,671972227.8
The Dead Zone,1983,107270195.47
Showdown in Little Tokyo,1991,157603742.65
Salmon Fishing in the Yemen,2011,316937819.74
Walking on Sunshine,2014,144703893.79999998
Sirens,1993,20331885.599999994
Manderlay,2005,133388741.21999998
Finding Forrester,2000,198845833.72
Bananas,1971,50024524.91
The United States of Leland,2003,167265535.5
Sea of Love,1989,268688336.88
Cirque du Soleil: Worlds Away,2012,20808224.129999995
The 41â€“Yearâ€“Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,2010,238005876.48000002
The BrÃ¸ken,2008,64792244.489999995
Saving Silverman,2001,475426607.8
Just Wright,2010,46273848.8
Bed of Roses,1996,51782520.410000004
Bird on a Wire,1990,17519282.08
Jinn,2014,1889917.849999994
Cherry 2000,1987,-18911311.630000003
The Soloist,2009,215314780.73000002
Metro,1997,22755229.71
A Night in Old Mexico,2013,47857202.129999995
Sightseers,2012,202167366.9
Kids,1995,21612328.8768
Top Secret!,1984,-13744378.7
Malibu's Most Wanted,2003,-245439.46000000834
Love Wrecked,2005,102811261.55000001
Sleeping with the Enemy,1991,29673746.119999997
Miss Julie,2014,15792086.809999995
Titus,1999,43246742.79
Analyze That,2002,-75326997.95
Compliance,2012,16251059.159999996
Xin shao lin si,2011,203330445.07126
Grand Canyon,1991,-2103337.199999988
Love and Other Disasters,2006,106294472.08
Fly Away Home,1996,-54464850.55
Trapped,2002,67461207.89000002
Flying Home,2014,136036100.17
Black Dog,1998,-2273340.5
Rock-A-Doodle,1991,42540002.57999999
The Woman,2011,-12808649.209999997
The Pact II,2014,3799001.3100000024
Hollywood Ending,2002,132232470.52000001
Redirected,2014,67938894.69
Southbound,2015,71268056.73999998
Star Trek: Renegades,2015,67353602.17999999
La hora frÃ­a,2007,73279844.06
Riding in Cars with Boys,2001,79890795.82
Super,2010,132384612.28
The Armstrong Lie,2013,-44130225.39000001
Losing Isaiah,1995,24188377.4
Boogeyman 2,2007,-15659702.761
Rapture Palooza,2013,588629191.0
The Boy,2015,137108664.38
PiÃ¨ce MontÃ©e,2010,26732911.619999997
Blood and Wine,1996,16195638.33
Burning Palms,2010,-2502551.6099999994
The Program,2015,68625484.94000001
Sound of Noise,2010,21886981.6
Mary Reilly,1996,-7425966.476
Red Eye,2005,51781598.089999996
Creepshow,1982,-68283248.84
Friday the 13th,2009,7367208.700000003
He Never Died,2015,12827620.264000002
