1,Cardiologia,01/01/2022,8
2,Pediatria,01/01/2022,14
3,Ginecologia,01/01/2022,10
4,Traumatologia,01/01/2022,17
5,Psicologia,01/01/2022,14
6,Dermatologia,01/01/2022,11
7,Fonoaudiologia,01/01/2022,3
8,Gastroenterologia,01/01/2022,17
9,Medicina General,01/01/2022,9
10,Neurologia,01/01/2022,22
11,Nefrologia,01/01/2022,16
12,Neumologia,01/01/2022,29
13,Odontologia,01/01/2022,19
14,Oftalmologia,01/01/2022,28
15,Otorrinolaringologia,01/01/2022,27
1,Cardiologia,02/01/2022,5
2,Pediatria,02/01/2022,13
3,Ginecologia,02/01/2022,10
4,Traumatologia,02/01/2022,7
5,Psicologia,02/01/2022,21
6,Dermatologia,02/01/2022,1
7,Fonoaudiologia,02/01/2022,23
8,Gastroenterologia,02/01/2022,15
9,Medicina General,02/01/2022,12
10,Neurologia,02/01/2022,8
11,Nefrologia,02/01/2022,12
12,Neumologia,02/01/2022,7
13,Odontologia,02/01/2022,14
14,Oftalmologia,02/01/2022,2
15,Otorrinolaringologia,02/01/2022,13
1,Cardiologia,03/01/2022,14
2,Pediatria,03/01/2022,5
3,Ginecologia,03/01/2022,24
4,Traumatologia,03/01/2022,1
5,Psicologia,03/01/2022,0
6,Dermatologia,03/01/2022,25
7,Fonoaudiologia,03/01/2022,13
8,Gastroenterologia,03/01/2022,17
9,Medicina General,03/01/2022,6
10,Neurologia,03/01/2022,28
11,Nefrologia,03/01/2022,13
12,Neumologia,03/01/2022,9
13,Odontologia,03/01/2022,17
14,Oftalmologia,03/01/2022,25
15,Otorrinolaringologia,03/01/2022,28
1,Cardiologia,04/01/2022,27
2,Pediatria,04/01/2022,29
3,Ginecologia,04/01/2022,18
4,Traumatologia,04/01/2022,25
5,Psicologia,04/01/2022,5
6,Dermatologia,04/01/2022,9
7,Fonoaudiologia,04/01/2022,16
8,Gastroenterologia,04/01/2022,11
9,Medicina General,04/01/2022,29
10,Neurologia,04/01/2022,24
11,Nefrologia,04/01/2022,19
12,Neumologia,04/01/2022,16
